calcPhase t x y theta P11 P12 P13 P22 P23 P33 U1 U2 y1 y2
1 0.420000 2331.993068 469.844023 0.823527 0.394644 0.374596 -0.001927 0.446536 0.001907 0.000254 0.000000 0.000000 0.000000 0.000000 
1 0.430000 2331.993068 469.844023 0.823527 0.403291 0.383929 -0.001927 0.456610 0.001907 0.000260 0.000000 0.000000 0.000000 0.000000 
1 0.440000 2331.993068 469.844023 0.823527 0.411939 0.393262 -0.001927 0.466683 0.001907 0.000266 0.000000 0.000000 0.000000 0.000000 
1 0.450000 2331.993068 469.844023 0.823527 0.420586 0.402596 -0.001927 0.476757 0.001907 0.000272 0.000000 0.000000 0.000000 0.000000 
1 0.460000 2331.993068 469.844023 0.823527 0.429234 0.411929 -0.001927 0.486831 0.001907 0.000278 0.000000 0.000000 0.000000 0.000000 
1 0.470000 2331.993068 469.844023 0.823527 0.437881 0.421262 -0.001927 0.496904 0.001907 0.000284 0.000000 0.000000 0.000000 0.000000 
1 0.480000 2331.993068 469.844023 0.823527 0.446528 0.430596 -0.001927 0.506978 0.001907 0.000290 0.000000 0.000000 0.000000 0.000000 
1 0.490000 2331.993068 469.844023 0.823527 0.455176 0.439929 -0.001927 0.517052 0.001907 0.000296 0.000000 0.000000 0.000000 0.000000 
1 0.500000 2334.543381 472.596630 0.756519 0.476967 0.437026 -0.002689 0.538479 0.002713 0.000302 3.752458 -0.067008 0.000000 0.000000 
1 0.510000 2337.274818 475.174691 0.823590 0.502719 0.429899 -0.003520 0.564370 0.003483 0.000308 3.755949 0.067071 0.000000 0.000000 
1 0.520000 2337.274818 475.174691 0.823590 0.511365 0.439232 -0.003520 0.574445 0.003483 0.000313 0.000000 0.000000 0.000000 0.000000 
1 0.530000 2337.274818 475.174691 0.823590 0.520012 0.448566 -0.003520 0.584520 0.003483 0.000319 0.000000 0.000000 0.000000 0.000000 
1 0.540000 2337.274818 475.174691 0.823590 0.528658 0.457899 -0.003520 0.594595 0.003483 0.000325 0.000000 0.000000 0.000000 0.000000 
1 0.550000 2337.274818 475.174691 0.823590 0.537304 0.467232 -0.003520 0.604670 0.003483 0.000331 0.000000 0.000000 0.000000 0.000000 
1 0.560000 2337.274818 475.174691 0.823590 0.545950 0.476565 -0.003520 0.614745 0.003483 0.000337 0.000000 0.000000 0.000000 0.000000 
1 0.570000 2337.274818 475.174691 0.823590 0.554597 0.485899 -0.003520 0.624819 0.003483 0.000343 0.000000 0.000000 0.000000 0.000000 
1 0.580000 2337.274818 475.174691 0.823590 0.563243 0.495232 -0.003520 0.634894 0.003483 0.000349 0.000000 0.000000 0.000000 0.000000 
1 0.590000 2339.824959 477.927457 0.756582 0.593592 0.483546 -0.004419 0.665325 0.004436 0.000355 3.752458 -0.067008 0.000000 0.000000 
1 0.600000 2339.824959 477.927457 0.756582 0.603492 0.492891 -0.004419 0.674146 0.004436 0.000361 0.000000 0.000000 0.000000 0.000000 
1 0.610000 2342.556235 480.505689 0.823652 0.639234 0.476181 -0.005415 0.709220 0.005358 0.000367 3.755949 0.067071 0.000000 0.000000 
1 0.620000 2342.556235 480.505689 0.823652 0.647879 0.485514 -0.005415 0.719296 0.005358 0.000373 0.000000 0.000000 0.000000 0.000000 
1 0.630000 2342.556235 480.505689 0.823652 0.656524 0.494847 -0.005415 0.729372 0.005358 0.000379 0.000000 0.000000 0.000000 0.000000 
1 0.640000 2342.556235 480.505689 0.823652 0.665169 0.504180 -0.005415 0.739448 0.005358 0.000385 0.000000 0.000000 0.000000 0.000000 
1 0.650000 2342.556235 480.505689 0.823652 0.673815 0.513514 -0.005415 0.749524 0.005358 0.000391 0.000000 0.000000 0.000000 0.000000 
1 0.660000 2342.556235 480.505689 0.823652 0.682460 0.522847 -0.005415 0.759600 0.005358 0.000397 0.000000 0.000000 0.000000 0.000000 
1 0.670000 2342.556235 480.505689 0.823652 0.691105 0.532180 -0.005415 0.769676 0.005358 0.000403 0.000000 0.000000 0.000000 0.000000 
1 0.680000 2345.106205 483.258614 0.756644 0.731574 0.510116 -0.006453 0.810739 0.006458 0.000409 3.752458 -0.067008 0.000000 0.000000 
1 0.690000 2347.837320 485.837016 0.823714 0.778887 0.482308 -0.007580 0.856443 0.007502 0.000415 3.755949 0.067071 0.000000 0.000000 
1 0.700000 2347.837320 485.837016 0.823714 0.787531 0.491641 -0.007580 0.866520 0.007502 0.000421 0.000000 0.000000 0.000000 0.000000 
1 0.710000 2347.837320 485.837016 0.823714 0.796175 0.500974 -0.007580 0.876597 0.007502 0.000427 0.000000 0.000000 0.000000 0.000000 
1 0.720000 2347.837320 485.837016 0.823714 0.804819 0.510308 -0.007580 0.886674 0.007502 0.000433 0.000000 0.000000 0.000000 0.000000 
1 0.730000 2347.837320 485.837016 0.823714 0.813463 0.519641 -0.007580 0.896751 0.007502 0.000439 0.000000 0.000000 0.000000 0.000000 
1 0.740000 2347.837320 485.837016 0.823714 0.822107 0.528974 -0.007580 0.906828 0.007502 0.000445 0.000000 0.000000 0.000000 0.000000 
